mode,endpoint,operator_pool,arm,comparison,mean_true,mean_control,effect,p_greater,n_pairs
gmr72_phase_conditioned,z_reward,no_suppress,object,true_vs_balanced,0.590095742862347,2.38079927424466,-1.7907035313823134,1.0,67
gmr72_phase_conditioned,z_reward,no_suppress,object,true_vs_performance_matched,0.590095742862347,-1.7025190681162643,2.2926148109786118,0.0001999600079984003,67
gmr72_phase_conditioned,z_reward,no_suppress,object,true_vs_shuffled_c,0.590095742862347,-0.2185795509152453,0.8086752937775923,0.001999600079984003,67
gmr72_phase_conditioned,z_reward,no_suppress,object,true_vs_phase_rotated,0.590095742862347,2.1421401432979326,-1.5520444004355862,1.0,67
gmr72_phase_conditioned,rank_reward,full,object,true_vs_random,0.5248567755027801,-3.0114841354426733,3.5363409109454533,0.0001999600079984003,67
gmr72_phase_conditioned,rank_reward,full,object,true_vs_balanced,0.5248567755027801,2.313069376796862,-1.7882126012940824,1.0,67
gmr72_phase_conditioned,rank_reward,full,object,true_vs_performance_matched,0.5248567755027801,-1.342282503793997,1.8671392792967767,0.0001999600079984003,67
gmr72_phase_conditioned,rank_reward,full,object,true_vs_shuffled_c,0.5248567755027801,-0.49488346435069436,1.0197402398534743,0.0009998000399920016,67
gmr72_phase_conditioned,rank_reward,full,object,true_vs_phase_rotated,0.5248567755027801,2.010723951287718,-1.485867175784938,1.0,67
gmr72_phase_conditioned,rank_reward,core_5,object,true_vs_random,0.8036281720670693,-2.6707303064915493,3.474358478558618,0.0001999600079984003,67
gmr72_phase_conditioned,rank_reward,core_5,object,true_vs_balanced,0.8036281720670693,2.4027076107169774,-1.5990794386499079,1.0,67
gmr72_phase_conditioned,rank_reward,core_5,object,true_vs_performance_matched,0.8036281720670693,-2.264076796999531,3.0677049690666007,0.0001999600079984003,67
gmr72_phase_conditioned,rank_reward,core_5,object,true_vs_shuffled_c,0.8036281720670693,-0.5584652351231859,1.3620934071902553,0.0001999600079984003,67
gmr72_phase_conditioned,rank_reward,core_5,object,true_vs_phase_rotated,0.8036281720670693,2.286936555830223,-1.4833083837631533,1.0,67
gmr72_phase_conditioned,rank_reward,no_phase_only,object,true_vs_random,0.7124319022490951,-2.771580747744544,3.4840126499936397,0.0001999600079984003,67
gmr72_phase_conditioned,rank_reward,no_phase_only,object,true_vs_balanced,0.7124319022490951,2.322558113027232,-1.6101262107781367,1.0,67
gmr72_phase_conditioned,rank_reward,no_phase_only,object,true_vs_performance_matched,0.7124319022490951,-1.8458171520973607,2.5582490543464567,0.0001999600079984003,67
gmr72_phase_conditioned,rank_reward,no_phase_only,object,true_vs_shuffled_c,0.7124319022490951,-0.618834449134766,1.3312663513838614,0.0003999200159968006,67
gmr72_phase_conditioned,rank_reward,no_phase_only,object,true_vs_phase_rotated,0.7124319022490951,2.201242333700337,-1.4888104314512425,1.0,67
gmr72_phase_conditioned,rank_reward,no_suppress,object,true_vs_random,0.6045714678384125,-3.0382129389652133,3.6427844068036253,0.0001999600079984003,67
gmr72_phase_conditioned,rank_reward,no_suppress,object,true_vs_balanced,0.6045714678384125,2.437415576502552,-1.8328441086641387,1.0,67
gmr72_phase_conditioned,rank_reward,no_suppress,object,true_vs_performance_matched,0.6045714678384125,-1.6106992634137445,2.215270731252157,0.0001999600079984003,67
