mode,weight_endpoint,readout,control_kind,mean_relative_to_q,mean_q_to_relative,mean_readout_asymmetry,mean_abs_readout_asymmetry,p_asymmetry_two_sided,dominant_direction,n_events
fes_string_conditioned,z_reward,q_residual,shuffled_c_intersection,-0.5960205119606554,-0.6061602459285668,-0.01013973396791132,0.36002340316929177,0.6712657468506299,Relative_to_Qresidual,502
fes_string_conditioned,z_reward,q_residual,phase_rotated_intersection,-0.5870617442874819,-0.5989229129317512,-0.011861168644269322,0.33702861074006474,0.5824835032993402,Relative_to_Qresidual,502
fes_string_conditioned,rank_reward,q_residual,true_intersection,-0.592513197167114,-0.5959260779420654,-0.0034128807749511515,0.35033140015822045,0.8824235152969406,Relative_to_Qresidual,502
fes_string_conditioned,rank_reward,q_residual,random_intersection,-0.607631558621871,-0.611755677273869,-0.004124118651997885,0.42238968319536235,0.8850229954009198,Relative_to_Qresidual,502
fes_string_conditioned,rank_reward,q_residual,balanced_intersection,-0.6025528223224285,-0.6028232586569008,-0.0002704363344723494,0.34646095079881867,0.9884023195360928,Relative_to_Qresidual,502
fes_string_conditioned,rank_reward,q_residual,performance_matched_intersection,-0.5940767867339856,-0.5973586704625398,-0.0032818837285541495,0.38750277685979795,0.8968206358728255,Relative_to_Qresidual,502
fes_string_conditioned,rank_reward,q_residual,shuffled_c_intersection,-0.5943613971078318,-0.6041198700515993,-0.00975847294376738,0.3500126841500771,0.6670665866826635,Relative_to_Qresidual,502
fes_string_conditioned,rank_reward,q_residual,phase_rotated_intersection,-0.5869075702174615,-0.5993557326880008,-0.012448162470539207,0.3337440216655585,0.5492901419716056,Relative_to_Qresidual,502
fes_string_conditioned,gmr72_bridge_composite,q_residual,true_intersection,-0.6001132266634579,-0.6005649609518218,-0.0004517342883638556,0.341917831471162,0.9796040791841631,Relative_to_Qresidual,502
fes_string_conditioned,gmr72_bridge_composite,q_residual,random_intersection,-0.607631558621871,-0.611755677273869,-0.004124118651997885,0.42238968319536235,0.889622075584883,Relative_to_Qresidual,502
fes_string_conditioned,gmr72_bridge_composite,q_residual,balanced_intersection,-0.6025528223224285,-0.6028232586569008,-0.0002704363344723494,0.34646095079881867,0.9882023595280944,Relative_to_Qresidual,502
fes_string_conditioned,gmr72_bridge_composite,q_residual,performance_matched_intersection,-0.5997412612842729,-0.607636106960745,-0.007894845676472114,0.28352353007479547,0.6654669066186762,Relative_to_Qresidual,502
fes_string_conditioned,gmr72_bridge_composite,q_residual,shuffled_c_intersection,-0.6002247023101723,-0.6048606759933441,-0.004635973683171885,0.3439022265868779,0.8350329934013198,Relative_to_Qresidual,502
fes_string_conditioned,gmr72_bridge_composite,q_residual,phase_rotated_intersection,-0.5966487496452721,-0.6020326038695006,-0.00538385422422842,0.34794417294964364,0.8080383923215357,Relative_to_Qresidual,502
linear_c_state,z_reward,q_residual,true_intersection,-0.6141489646587615,-0.585618772929072,0.028530191729689316,0.3936226929751392,0.28494301139772044,Qresidual_to_Relative,502
linear_c_state,z_reward,q_residual,random_intersection,-0.5879778640624971,-0.6192790168350037,-0.03130115277250666,0.37907727799371904,0.20495900819836033,Relative_to_Qresidual,502
