mode,weight_endpoint,readout,direction,metric,comparison,mean_true,mean_control,effect,p_greater,n_pairs
gmr72_phase_conditioned,gmr72_bridge_composite,sic_continuous,SI_SIC_to_Relative,intersection_access_effect,true_vs_performance_matched_intersection,-0.5453357101127477,-0.5584223109333928,0.013086600820644893,0.2989402119576085,101
gmr72_phase_conditioned,gmr72_bridge_composite,sic_continuous,SI_SIC_to_Relative,intersection_access_effect,true_vs_shuffled_c_intersection,-0.5453357101127477,-0.5654754659490223,0.020139755836274528,0.013797240551889621,101
gmr72_phase_conditioned,gmr72_bridge_composite,sic_continuous,SI_SIC_to_Relative,intersection_access_effect,true_vs_phase_rotated_intersection,-0.5453357101127477,-0.580637228085568,0.03530151797282031,0.052589482103579284,101
fes_string_conditioned,z_reward,sic_continuous,Relative_to_SI_SIC,access_readout,true_vs_random_intersection,-0.000928225505456086,0.04047918259079191,-0.04140740809624799,0.875624875024995,101
fes_string_conditioned,z_reward,sic_continuous,Relative_to_SI_SIC,access_readout,true_vs_balanced_intersection,-0.000928225505456086,-0.0014905345301488506,0.0005623090246927534,0.47030593881223753,101
fes_string_conditioned,z_reward,sic_continuous,Relative_to_SI_SIC,access_readout,true_vs_performance_matched_intersection,-0.000928225505456086,-0.00012205490853860974,-0.0008061705969174658,0.529494101179764,101
fes_string_conditioned,z_reward,sic_continuous,Relative_to_SI_SIC,access_readout,true_vs_shuffled_c_intersection,-0.000928225505456086,0.00033253666072948477,-0.0012607621661855503,0.5494901019796041,101
fes_string_conditioned,z_reward,sic_continuous,Relative_to_SI_SIC,access_readout,true_vs_phase_rotated_intersection,-0.000928225505456086,0.0009047609276812663,-0.001832986433137339,0.5664867026594681,101
fes_string_conditioned,z_reward,sic_continuous,Relative_to_SI_SIC,intersection_access_effect,true_vs_random_intersection,-0.5404762909404393,-0.4990688828441914,-0.04140740809624799,0.8720255948810238,101
fes_string_conditioned,z_reward,sic_continuous,Relative_to_SI_SIC,intersection_access_effect,true_vs_balanced_intersection,-0.5404762909404393,-0.5410385999651321,0.0005623090246927462,0.47490501899620075,101
fes_string_conditioned,z_reward,sic_continuous,Relative_to_SI_SIC,intersection_access_effect,true_vs_performance_matched_intersection,-0.5404762909404393,-0.5396701203435219,-0.0008061705969174686,0.5114977004599081,101
fes_string_conditioned,z_reward,sic_continuous,Relative_to_SI_SIC,intersection_access_effect,true_vs_shuffled_c_intersection,-0.5404762909404393,-0.5392155287742538,-0.0012607621661855464,0.5510897820435913,101
fes_string_conditioned,z_reward,sic_continuous,Relative_to_SI_SIC,intersection_access_effect,true_vs_phase_rotated_intersection,-0.5404762909404393,-0.538643304507302,-0.00183298643313734,0.5590881823635273,101
fes_string_conditioned,z_reward,sic_continuous,SI_SIC_to_Relative,access_readout,true_vs_random_intersection,-0.02603317643621349,-0.03363551943585405,0.007602342999640579,0.42351529694061185,101
fes_string_conditioned,z_reward,sic_continuous,SI_SIC_to_Relative,access_readout,true_vs_balanced_intersection,-0.02603317643621349,-0.0246597081267326,-0.0013734683094808837,0.5276944611077784,101
fes_string_conditioned,z_reward,sic_continuous,SI_SIC_to_Relative,access_readout,true_vs_performance_matched_intersection,-0.02603317643621349,-0.03500382806153045,0.00897065162531696,0.3225354929014197,101
fes_string_conditioned,z_reward,sic_continuous,SI_SIC_to_Relative,access_readout,true_vs_shuffled_c_intersection,-0.02603317643621349,-0.019320374517907305,-0.006712801918306169,0.6350729854029195,101
fes_string_conditioned,z_reward,sic_continuous,SI_SIC_to_Relative,access_readout,true_vs_phase_rotated_intersection,-0.02603317643621349,-0.032208412261586515,0.006175235825373033,0.39752049590081984,101
