label,idx_in_session,event_class,event_role,delta,future_AB,return_gain,pre_AB,TFC_mean,TFC_min,A_C,B_C,A_B_at_t,closure_min_z,constraint_closure_min_z
P15,77.0,b55_density_only_gate,density_control,30,0.07999008346087395,-0.4522916371908094,0.5322817206516833,0.24140191758866356,0.1279047620555712,0.1279047620555712,0.2195350843637662,0.3767659063466532,-0.8411281642716643,-2.3467537516032153
P15,82.0,b55_density_only_gate,density_control,30,0.1849632892402544,-0.17668998587286905,0.36165327511312345,0.23615970964345,0.12449986737041059,0.12449986737041059,0.3074960623833788,0.2764831991765606,-0.01050893530198851,-0.8775781938226594
P15,85.0,b55_density_only_gate,density_control,30,0.051492624674764544,-0.15211478943963347,0.203607414114398,0.08047494477350971,0.029498604079940316,0.040957863818098406,0.029498604079940316,0.1709683664224904,-1.7486835687506752,-1.7486835687506752
P15,92.0,b55_density_only_gate,density_control,30,0.193526172250565,0.06762132126762699,0.12590485098293802,0.12506902700755354,0.05669376115599323,0.05669376115599323,0.07629746302108335,0.24221585684558408,-1.0731798492974862,-1.0731798492974862
P15,97.0,b55_density_only_gate,density_control,30,0.23330318678213477,0.20793819169854702,0.02536499508358775,0.16365706929505783,0.0021064850618994243,0.0021064850618994243,0.3075944293416798,0.18127029348159424,-1.1228411882177198,-1.1228411882177198
P15,104.0,b55_density_only_gate,density_control,30,0.287799360519585,0.17682163219741776,0.11097772832216724,0.17270137068435007,0.010974888627748673,0.010974888627748673,0.19801998686045602,0.3091092365648455,-0.5599343752494463,-0.5599343752494463
P15,110.0,b55_density_only_gate,density_control,30,0.16301169413672587,-0.15525267712135524,0.3182643712580811,0.07996282706172965,0.02420543996470835,0.024259094555573357,0.02420543996470835,0.19142394666490722,-1.7564410424282295,-1.7564410424282295
P15,113.0,b55_density_only_gate,density_control,30,0.16427636260061776,-0.07756408450350699,0.24184044710412475,0.11191775182072929,0.029202911480522887,0.03833966706029529,0.029202911480522887,0.2682106769213697,-1.272393172213912,-1.272393172213912
P15,117.0,b55_density_only_gate,density_control,30,0.1464664940100412,0.04156701571985147,0.10489947829018972,0.13747570544796847,0.03166074103862126,0.03166074103862126,0.10336275006658138,0.27740362523870277,-0.8852455536980138,-0.8852455536980138
P15,135.0,b55_density_only_gate,density_control,30,0.22987376498616258,-0.034593622253717315,0.2644673872398799,0.3004551973691797,0.3004551973691797,,,0.3004551973691797,0.3448532207812258,-0.1200917880611771
P15,141.0,b55_density_only_gate,density_control,30,0.2842200711925611,0.12223677125103025,0.16198329994153085,0.22027621746024528,0.22027621746024528,,,0.22027621746024528,-0.22457089977354783,-0.22457089977354783
P15,150.0,b55_density_only_gate,density_control,30,0.09693434804987135,-0.132576967329532,0.22951131537940334,0.2383419705891706,0.09555731623888096,0.09555731623888096,0.18569533817705186,0.4337732573515789,-0.7070536460755577,-0.6424207906871275
P15,155.0,b55_density_only_gate,density_control,30,0.09818921292067086,-0.1387470033436557,0.23693621626432654,0.11663126774126449,0.09447930294052306,0.09447930294052306,0.10529988930249899,0.15011461098077147,-1.20099361925725,-1.20099361925725
P15,160.0,b55_density_only_gate,density_control,30,0.08823963530935497,-0.31369529054324496,0.40193492585259993,0.09888195755726488,0.011020226827777766,0.011020226827777766,0.1491782368461196,0.13644740899789728,-1.4698572093653328,-1.6079252144063196
P15,165.0,b55_density_only_gate,density_control,30,0.12455690713228026,-0.17589829023689943,0.3004551973691797,0.15902074863769666,0.056574815944320435,0.056574815944320435,0.19061366498260698,0.22987376498616258,-0.5588848331419033,-0.8733578276818692
P15,184.0,b55_density_only_gate,density_control,30,0.30254616289136427,0.12809392219817922,0.17445224069318505,0.11309947207458311,0.07154914303083598,0.15993031635547938,0.07154914303083598,0.10781895683743399,-1.254492670917755,-1.254492670917755
P15,189.0,b55_density_only_gate,density_control,30,0.03696520920602559,-0.07417850605826215,0.11114371526428773,0.09991974226406937,0.01795829315394966,0.1572992335428978,0.01795829315394966,0.12450170009536063,-1.4541370197276393,-1.4541370197276393
P15,193.0,b55_density_only_gate,density_control,30,0.21524681629998862,0.12058239267469921,0.09466442362528942,0.13101680433797605,0.10977545980611239,0.17242776999455703,0.11084718321325875,0.10977545980611239,-0.9830839103768607,-0.9830839103768607
P15,196.0,b55_density_only_gate,density_control,30,0.1891128123339972,-0.019120645118311158,0.20823345745230837,0.16835126451293156,0.15102334064147435,0.16065214883654924,0.19337830406077106,0.15102334064147435,-0.41754773498033276,-0.41754773498033276
P15,206.0,b55_density_only_gate,density_control,30,0.03864566457717746,-0.3075939352283276,0.34623959980550506,0.20736745506661622,0.07528894631702565,0.07528894631702565,0.12886413577788663,0.41794928310493634,-1.1682732588737086,-1.575400147683588
P15,210.0,b55_density_only_gate,density_control,30,0.08758816686100496,-0.00934618118886639,0.09693434804987135,0.20838271545541112,0.09741950970351448,0.09741950970351448,0.18569533817705183,0.34203329848566705,-0.7810069730723784,-0.6522701077198745
P15,216.0,b55_density_only_gate,density_control,30,0.013819328069831025,-0.012804185258511853,0.02662351332834288,0.13005834486450815,0.08610019476085158,0.08610019476085158,0.15018528636734332,0.15388955346532954,-1.364716078112867,-1.1145663853067636
P15,225.0,b55_density_only_gate,density_control,30,0.13663886950198145,0.012081962369701188,0.12455690713228026,0.1653183866883822,0.014834769962266398,0.014834769962266398,0.19933258638763102,0.2817878037152492,-0.4706507841576189,-0.4706507841576189
P15,231.0,b55_density_only_gate,density_control,30,0.07922501807863863,0.04476057384589915,0.034464444232739484,0.11199786101950053,0.010153020974903063,0.010153020974903063,0.1981253852243273,0.1277151768592712,-1.2711796914330231,-1.2711796914330231
P15,252.0,b55_density_only_gate,density_control,30,0.05363535343619278,-0.10068069773028845,0.15431605116648123,0.22566188144281885,0.11871556700120056,0.35824182601217647,0.20002825131507948,0.11871556700120056,-1.049664670042593,-0.4723883563548402
P15,254.0,b55_density_only_gate,density_control,30,0.19291836361869663,-0.04012193713000936,0.233040300748706,0.23176211034379737,0.14419429285843702,0.3607119670950964,0.1903800710778588,0.14419429285843702,0.05243701073785344,-0.14956209440049983
P15,256.0,b55_density_only_gate,density_control,30,0.39143443460391303,0.20232162226991582,0.1891128123339972,0.22705203973789354,0.13948861422977887,0.35886287462700517,0.1828046303568965,0.13948861422977887,-0.04619337600416528,-0.04619337600416528
P15,260.0,b55_density_only_gate,density_control,30,0.4645111722228128,0.35288803453335627,0.11162313768945653,0.23597849853677355,0.1612395052717258,0.3688550383547866,0.1778409519838082,0.1612395052717258,-0.5556907853504035,-0.5556907853504035
P15,299.0,b55_density_only_gate,density_control,30,0.03296855327429033,0.022887192866563887,0.010081360407726444,0.10392976272367549,0.030303216391946906,0.030303216391946906,0.13114243004460585,0.15034364173447373,-1.3933938986711107,-1.3933938986711107
P15,304.0,b55_density_only_gate,density_control,30,0.05472149156642147,0.04899262736610921,0.00572886420031226,0.10779592448432844,0.02546069920896727,0.02546069920896727,0.10275227790837786,0.19517479633564017,-1.3348299251909026,-1.3348299251909026
P15,306.0,b55_density_only_gate,density_control,30,0.22169336248268806,0.1458133585081588,0.07588000397452926,0.08558650958943954,0.018389209315528766,0.018389209315528766,0.11395818118674961,0.1244121382660403,-1.6712544375205527,-1.6712544375205527
P15,314.0,b55_density_only_gate,density_control,30,0.08179813332160217,-0.11112023029709446,0.19291836361869663,0.1656524464708388,0.103027923793831,0.19247530948608235,0.103027923793831,0.20145410613260306,-0.8268216470027424,-0.5280393512181177
