condition_id,state_representation,endpoint_mode,operator_pool,seed,n_folds,min_state_events,n_control_draws,comparison,mean_true_policy,mean_comparator,effect,p_greater,n_events,state_mapping_rate
b6i_045,strength_bin_only,rank_reward,full,60810,5,8,200,true_policy_vs_oracle,-0.02765602753557906,1.1117820538752037,-1.1622796605812178,1.0,473,1.0
b6i_046,strength_bin_only,rank_reward,core_5,60810,5,8,200,true_policy_vs_balanced_pool_shuffle,-0.11387534528922473,-0.10323096312170822,-0.006643662740276597,0.7796881247501,449,1.0
b6i_046,strength_bin_only,rank_reward,core_5,60810,5,8,200,true_policy_vs_frequency_matched_random,-0.11387534528922473,-0.07110373859036367,-0.03165687477463714,0.8484606157536985,449,1.0
b6i_046,strength_bin_only,rank_reward,core_5,60810,5,8,200,true_policy_vs_performance_matched_random,-0.11387534528922473,-0.0975064002857459,-0.00506229407808174,0.6109556177528989,449,1.0
b6i_046,strength_bin_only,rank_reward,core_5,60810,5,8,200,true_policy_vs_within_state_shuffle,-0.11387534528922473,0.020211327476390508,-0.11714177236664064,0.9996001599360256,449,1.0
b6i_046,strength_bin_only,rank_reward,core_5,60810,5,8,200,true_policy_vs_oracle,-0.11387534528922473,0.9944777980181899,-1.1210355000224101,1.0,449,1.0
b6i_047,strength_bin_only,rank_reward,no_phase_only,60810,5,8,200,true_policy_vs_balanced_pool_shuffle,-0.11387534528922473,-0.0898143968641598,-0.009933964258198789,0.7872850859656138,449,1.0
b6i_047,strength_bin_only,rank_reward,no_phase_only,60810,5,8,200,true_policy_vs_frequency_matched_random,-0.11387534528922473,-0.07110373859036367,-0.03165687477463714,0.8484606157536985,449,1.0
b6i_047,strength_bin_only,rank_reward,no_phase_only,60810,5,8,200,true_policy_vs_performance_matched_random,-0.11387534528922473,-0.059971616757521294,-0.0010655752647330745,0.5205917632946822,449,1.0
b6i_047,strength_bin_only,rank_reward,no_phase_only,60810,5,8,200,true_policy_vs_within_state_shuffle,-0.11387534528922473,0.006704851610581016,-0.1055007607066245,0.9976009596161536,449,1.0
b6i_047,strength_bin_only,rank_reward,no_phase_only,60810,5,8,200,true_policy_vs_oracle,-0.11387534528922473,1.0019491603225386,-1.1451817579392212,1.0,449,1.0
b6i_048,strength_bin_only,rank_reward,no_suppress,60810,5,8,200,true_policy_vs_balanced_pool_shuffle,-0.02765602753557906,-0.06417988637261474,0.036653672672709345,0.01719312275089964,473,1.0
b6i_048,strength_bin_only,rank_reward,no_suppress,60810,5,8,200,true_policy_vs_frequency_matched_random,-0.02765602753557906,-0.06646963462690553,0.02102138029401237,0.24430227908836466,473,1.0
b6i_048,strength_bin_only,rank_reward,no_suppress,60810,5,8,200,true_policy_vs_performance_matched_random,-0.02765602753557906,-0.06494813947941037,0.06164985684541767,0.012794882047181128,473,1.0
b6i_048,strength_bin_only,rank_reward,no_suppress,60810,5,8,200,true_policy_vs_within_state_shuffle,-0.02765602753557906,0.010472172005197124,-0.03376715343192373,0.7924830067972811,473,1.0
b6i_048,strength_bin_only,rank_reward,no_suppress,60810,5,8,200,true_policy_vs_oracle,-0.02765602753557906,1.112498704331316,-1.1502208758607506,1.0,473,1.0
b6i_049,side_tfc,z_reward,full,60810,5,8,200,true_policy_vs_balanced_pool_shuffle,0.20673843680956863,0.10174237607574221,0.08544460922545653,0.00039984006397441024,452,0.9860557768924303
b6i_049,side_tfc,z_reward,full,60810,5,8,200,true_policy_vs_frequency_matched_random,0.20673843680956863,-0.013026443350211456,0.19590245658709848,0.00039984006397441024,452,0.9860557768924303
b6i_049,side_tfc,z_reward,full,60810,5,8,200,true_policy_vs_performance_matched_random,0.20673843680956863,0.09595586463547637,0.12010570284475386,0.00039984006397441024,452,0.9860557768924303
b6i_049,side_tfc,z_reward,full,60810,5,8,200,true_policy_vs_within_state_shuffle,0.20673843680956863,0.003144519212403432,0.20632400017499491,0.00039984006397441024,452,0.9860557768924303
b6i_049,side_tfc,z_reward,full,60810,5,8,200,true_policy_vs_oracle,0.20673843680956863,1.2239410650761156,-1.045117340978006,1.0,452,0.9860557768924303
b6i_050,side_tfc,z_reward,core_5,60810,5,8,200,true_policy_vs_balanced_pool_shuffle,0.14891476684634716,0.1298392341069297,0.019446656165167536,0.10235905637744902,443,0.9860557768924303
b6i_050,side_tfc,z_reward,core_5,60810,5,8,200,true_policy_vs_frequency_matched_random,0.14891476684634716,-0.016122671769394456,0.1407529572520758,0.0007996801279488205,443,0.9860557768924303
b6i_050,side_tfc,z_reward,core_5,60810,5,8,200,true_policy_vs_performance_matched_random,0.14891476684634716,0.11364539660478933,0.0787912516095731,0.00039984006397441024,443,0.9860557768924303
