bridge_variant,operator_pool,direction,comparison,mean_true,mean_control,effect,p_greater,n_pairs
variable_step_structured,core_5,B_to_C_to_A,true_vs_shuffled_c,-0.25816820728780604,-0.26399859498001166,0.005830387692205636,0.0057988402319536095,502
variable_step_structured,core_5,B_to_C_to_A,true_vs_phase_rotated,-0.25816820728780604,-0.26417463588944046,0.006006428601634427,0.020395920815836834,502
variable_step_structured,core_5,B_to_C_to_A,true_vs_random,-0.25816820728780604,-0.2679152472043112,0.009747039916505187,0.03659268146370726,502
variable_step_structured,core_5,B_to_C_to_A,true_vs_performance_matched,-0.25816820728780604,-0.2699712518828853,0.011803044595079287,0.0003999200159968006,502
variable_step_structured,no_phase_only,A_to_C_to_B,true_vs_balanced,-0.26389072130428526,-0.2705829036260857,0.006692182321800378,0.0003999200159968006,502
variable_step_structured,no_phase_only,A_to_C_to_B,true_vs_shuffled_c,-0.26389072130428526,-0.2706700904975204,0.006779369193235124,0.0009998000399920016,502
variable_step_structured,no_phase_only,A_to_C_to_B,true_vs_phase_rotated,-0.26389072130428526,-0.2730696636026212,0.009178942298335949,0.001799640071985603,502
variable_step_structured,no_phase_only,A_to_C_to_B,true_vs_random,-0.26389072130428526,-0.2772900287227116,0.013399307418426317,0.009398120375924815,502
variable_step_structured,no_phase_only,A_to_C_to_B,true_vs_performance_matched,-0.26389072130428526,-0.2694501818697411,0.0055594605654558284,0.03539292141571686,502
variable_step_structured,no_phase_only,B_to_C_to_A,true_vs_balanced,-0.265938189362987,-0.2716820588387208,0.005743869475733746,0.0005998800239952009,502
