source,topology_arm,classification,representation_arm,comparison,metric,value,nearest_fraction,numerator,denominator,abs_error_to_fraction,is_close_to_fraction,is_focus_fraction,has_numerator_gt_1,tags
paired_boundary,c10_shuffled,boundary,,full_minus_reverse,abs_mean_delta_scaled,0.05011435931509265,1/20,1,20,0.0001143593150926478,True,False,False,c10_boundary_candidate|5_or_10_proxy|even_n
readout_rank_scaled,c14_shuffled,full-stable,c_to_ab_magnitude_only,,readout_minmax_scaled,0.2141571955339627,3/14,3,14,0.0001285187517515718,True,False,True,c14_transition_probe|even_n
readout_rank_scaled,c14_shuffled,full-stable,c_to_ab_standpoint_only,,readout_minmax_scaled,0.2141571955339627,3/14,3,14,0.0001285187517515718,True,False,True,c14_transition_probe|even_n
paired_boundary,c13_ring_share_10,full-stable,,full_minus_reverse,abs_mean_delta_scaled,0.4613980804578488,6/13,6,13,0.00014038108061276144,True,False,True,c13_full_branch|ring_sharing|ring_share_10|5_or_10_proxy|odd_n
readout_rank_scaled,c13_edge_count_null,full-stable,full_self_consistent_rstar,,readout_minmax_scaled,0.2175379132348753,5/23,5,23,0.00014660888704923214,True,False,True,c13_full_branch|odd_n
readout_rank_scaled,c14_shuffled,full-stable,reverse_only_c_to_ab,,readout_minmax_scaled,0.14270859528441132,1/7,1,7,0.00014854757273152774,True,False,False,c14_transition_probe|even_n
readout_deviation_from_c12,c14_shuffled,full-stable,reverse_only_c_to_ab,,abs_deviation_from_c12_scaled,0.8572914047155887,6/7,6,7,0.00014854757273163877,True,False,True,c14_transition_probe|even_n
readout_deviation_from_c12,c9,boundary,c_to_ab_receiver_only,,abs_deviation_from_c12_scaled,0.8097105494548137,17/21,17,21,0.00018673993100415398,True,False,True,odd_n
readout_deviation_from_c12,c14_ring_share_10,reverse-stable,c_to_ab_magnitude_only,,abs_deviation_from_c12_scaled,0.8697530476591917,20/23,20,23,0.0001878302678873789,True,False,True,c14_transition_probe|ring_sharing|ring_share_10|5_or_10_proxy|even_n
readout_deviation_from_c12,c14_ring_share_10,reverse-stable,c_to_ab_standpoint_only,,abs_deviation_from_c12_scaled,0.8697530476591917,20/23,20,23,0.0001878302678873789,True,False,True,c14_transition_probe|ring_sharing|ring_share_10|5_or_10_proxy|even_n
readout_rank_scaled,c10_shuffled,boundary,c_to_ab_magnitude_only,,readout_minmax_scaled,0.12479129703066094,1/8,1,8,0.00020870296933905852,True,False,False,c10_boundary_candidate|5_or_10_proxy|even_n
readout_rank_scaled,c10_shuffled,boundary,c_to_ab_standpoint_only,,readout_minmax_scaled,0.12479129703066094,1/8,1,8,0.00020870296933905852,True,False,False,c10_boundary_candidate|5_or_10_proxy|even_n
