mode,endpoint,direction,metric,comparison,mean_true,mean_control,effect,p_greater,n_pairs
combined_c_fes_gmr72,gmr72_bridge_composite,B_to_C_to_A,own_access_effect,true_vs_performance_matched_intersection,0.0007703096732834864,-0.008873414453268882,0.009643724126552369,0.013797240551889621,475
combined_c_fes_gmr72,gmr72_bridge_composite,B_to_C_to_A,own_access_effect,true_vs_shuffled_c_intersection,0.0007703096732834864,-0.0004756681065185382,0.0012459777798020256,0.40191961607678467,475
combined_c_fes_gmr72,gmr72_bridge_composite,B_to_C_to_A,own_access_effect,true_vs_phase_rotated_intersection,0.0007703096732834864,-0.003229446838289063,0.003999756511572551,0.1875624875024995,475
gmr72_phase_conditioned,z_reward,A_to_C_to_B,access_readout,true_vs_random_intersection,0.05587104120400684,-0.002894442370807413,0.058765483574814266,0.0007998400319936012,502
gmr72_phase_conditioned,z_reward,A_to_C_to_B,access_readout,true_vs_balanced_intersection,0.05587104120400684,0.015844062761906433,0.04002697844210041,0.0001999600079984003,502
gmr72_phase_conditioned,z_reward,A_to_C_to_B,access_readout,true_vs_performance_matched_intersection,0.05587104120400684,-0.005435959008716862,0.06130700021272373,0.0001999600079984003,502
gmr72_phase_conditioned,z_reward,A_to_C_to_B,access_readout,true_vs_shuffled_c_intersection,0.05587104120400684,0.00020929752049573288,0.05566174368351113,0.0003999200159968006,502
gmr72_phase_conditioned,z_reward,A_to_C_to_B,access_readout,true_vs_phase_rotated_intersection,0.05587104120400684,0.014455800657554618,0.04141524054645224,0.0021995600879824036,502
gmr72_phase_conditioned,z_reward,A_to_C_to_B,intersection_access_effect,true_vs_random_intersection,-0.6740534344851927,-0.732818918060007,0.058765483574814266,0.0009998000399920016,502
gmr72_phase_conditioned,z_reward,A_to_C_to_B,intersection_access_effect,true_vs_balanced_intersection,-0.6740534344851927,-0.7140804129272932,0.04002697844210041,0.0001999600079984003,502
gmr72_phase_conditioned,z_reward,A_to_C_to_B,intersection_access_effect,true_vs_performance_matched_intersection,-0.6740534344851927,-0.7353604346979166,0.06130700021272372,0.0001999600079984003,502
gmr72_phase_conditioned,z_reward,A_to_C_to_B,intersection_access_effect,true_vs_shuffled_c_intersection,-0.6740534344851927,-0.7297151781687039,0.05566174368351113,0.0001999600079984003,502
gmr72_phase_conditioned,z_reward,A_to_C_to_B,intersection_access_effect,true_vs_phase_rotated_intersection,-0.6740534344851927,-0.7154686750316449,0.041415240546452244,0.003599280143971206,502
gmr72_phase_conditioned,z_reward,A_to_C_to_B,opposite_access_effect,true_vs_random_intersection,-0.0048968567148829625,-0.027703408176404258,0.0228065514615213,0.1187762447510498,406
gmr72_phase_conditioned,z_reward,A_to_C_to_B,opposite_access_effect,true_vs_balanced_intersection,-0.0048968567148829625,-0.03194428701435756,0.027047430299474595,0.003599280143971206,406
gmr72_phase_conditioned,z_reward,A_to_C_to_B,opposite_access_effect,true_vs_performance_matched_intersection,-0.0048968567148829625,-0.05399532040733161,0.049098463692448656,0.0001999600079984003,406
gmr72_phase_conditioned,z_reward,A_to_C_to_B,opposite_access_effect,true_vs_shuffled_c_intersection,-0.0048968567148829625,-0.05279237714589921,0.04789552043101624,0.0005998800239952009,406
gmr72_phase_conditioned,z_reward,A_to_C_to_B,opposite_access_effect,true_vs_phase_rotated_intersection,-0.0048968567148829625,-0.04441459695844205,0.03951774024355908,0.006998600279944011,406
gmr72_phase_conditioned,z_reward,A_to_C_to_B,own_access_effect,true_vs_random_intersection,0.007099732106235614,-0.02277239213816617,0.02987212424440181,0.055188962207558485,410
gmr72_phase_conditioned,z_reward,A_to_C_to_B,own_access_effect,true_vs_balanced_intersection,0.007099732106235614,-0.022946183465167146,0.030045915571402782,0.001999600079984003,410
gmr72_phase_conditioned,z_reward,A_to_C_to_B,own_access_effect,true_vs_performance_matched_intersection,0.007099732106235614,-0.04270752756151505,0.049807259667750674,0.0001999600079984003,410
gmr72_phase_conditioned,z_reward,A_to_C_to_B,own_access_effect,true_vs_shuffled_c_intersection,0.007099732106235614,-0.044776661485872324,0.051876393592107946,0.0001999600079984003,410
gmr72_phase_conditioned,z_reward,A_to_C_to_B,own_access_effect,true_vs_phase_rotated_intersection,0.007099732106235614,-0.03385169441419115,0.04095142652042678,0.00599880023995201,410
gmr72_phase_conditioned,z_reward,B_to_C_to_A,access_readout,true_vs_random_intersection,0.0696451046897932,-0.00479697366683559,0.07444207835662879,0.0001999600079984003,502
gmr72_phase_conditioned,z_reward,B_to_C_to_A,access_readout,true_vs_balanced_intersection,0.0696451046897932,0.012007102858149172,0.05763800183164404,0.0001999600079984003,502
gmr72_phase_conditioned,z_reward,B_to_C_to_A,access_readout,true_vs_performance_matched_intersection,0.0696451046897932,-0.015572473602471977,0.08521757829226517,0.0001999600079984003,502
gmr72_phase_conditioned,z_reward,B_to_C_to_A,access_readout,true_vs_shuffled_c_intersection,0.0696451046897932,0.005592850794813153,0.06405225389498004,0.0001999600079984003,502
gmr72_phase_conditioned,z_reward,B_to_C_to_A,access_readout,true_vs_phase_rotated_intersection,0.0696451046897932,0.015049145207782475,0.054595959482010716,0.0001999600079984003,502
gmr72_phase_conditioned,z_reward,B_to_C_to_A,intersection_access_effect,true_vs_random_intersection,-0.6602793709994064,-0.7347214493560351,0.07444207835662879,0.0001999600079984003,502
gmr72_phase_conditioned,z_reward,B_to_C_to_A,intersection_access_effect,true_vs_balanced_intersection,-0.6602793709994064,-0.7179173728310505,0.05763800183164404,0.0001999600079984003,502
gmr72_phase_conditioned,z_reward,B_to_C_to_A,intersection_access_effect,true_vs_performance_matched_intersection,-0.6602793709994064,-0.7454969492916715,0.08521757829226517,0.0001999600079984003,502
gmr72_phase_conditioned,z_reward,B_to_C_to_A,intersection_access_effect,true_vs_shuffled_c_intersection,-0.6602793709994064,-0.7243316248943864,0.06405225389498005,0.0001999600079984003,502
