topology_name,condition,null_index,n_nodes,n_directed_edges,null_model,carrier_score
"C8(1,2)",unseeded,12,8,32,degree-matched directed random graph,0.6594327487106766
"C8(1,2)",unseeded,13,8,32,degree-matched directed random graph,0.6705213713784769
"C8(1,2)",unseeded,14,8,32,degree-matched directed random graph,0.6693530691689806
"C8(1,2)",unseeded,15,8,32,degree-matched directed random graph,0.6578061443270911
"C8(1,2)",unseeded,16,8,32,degree-matched directed random graph,0.6556079373433704
"C8(1,2)",unseeded,17,8,32,degree-matched directed random graph,0.6745698088198747
"C8(1,2)",unseeded,18,8,32,degree-matched directed random graph,0.6590801655922609
"C8(1,2)",unseeded,19,8,32,degree-matched directed random graph,0.6779180061910689
"C8(1,2)",unseeded,20,8,32,degree-matched directed random graph,0.6719733859123973
"C8(1,2)",unseeded,21,8,32,degree-matched directed random graph,0.6568398491614369
"C8(1,2)",unseeded,22,8,32,degree-matched directed random graph,0.6779178532974985
"C8(1,2)",unseeded,23,8,32,degree-matched directed random graph,0.6684873471729214
"C8(1,2)",unseeded,24,8,32,degree-matched directed random graph,0.6660399427694597
"C8(1,2)",unseeded,25,8,32,degree-matched directed random graph,0.6523911306769841
"C8(1,2)",unseeded,26,8,32,degree-matched directed random graph,0.6554808616116155
"C8(1,2)",unseeded,27,8,32,degree-matched directed random graph,0.6665308057811714
"C8(1,2)",unseeded,28,8,32,degree-matched directed random graph,0.6702395748752832
"C8(1,2)",unseeded,29,8,32,degree-matched directed random graph,0.6836051032384411
"C8(1,2)",unseeded,30,8,32,degree-matched directed random graph,0.6847349433989355
"C8(1,2)",unseeded,31,8,32,degree-matched directed random graph,0.6723188352350518
"C8(1,2)",unseeded,32,8,32,degree-matched directed random graph,0.6514135240442027
"C8(1,2)",unseeded,33,8,32,degree-matched directed random graph,0.6624440334796922
"C8(1,2)",unseeded,34,8,32,degree-matched directed random graph,0.6605008226990061
"C8(1,2)",unseeded,35,8,32,degree-matched directed random graph,0.6631584743347184
"C8(1,2)",unseeded,36,8,32,degree-matched directed random graph,0.6652143331636446
"C8(1,2)",unseeded,37,8,32,degree-matched directed random graph,0.6515629801949092
"C8(1,2)",unseeded,38,8,32,degree-matched directed random graph,0.6772249870019431
"C8(1,2)",unseeded,39,8,32,degree-matched directed random graph,0.6616683936725802
"C8(1,2)",unseeded,40,8,32,degree-matched directed random graph,0.6834384825337523
"C8(1,2)",unseeded,41,8,32,degree-matched directed random graph,0.6677511281626111
"C8(1,2)",unseeded,42,8,32,degree-matched directed random graph,0.6805067634426656
"C8(1,2)",unseeded,43,8,32,degree-matched directed random graph,0.677129021697579
"C8(1,2)",unseeded,44,8,32,degree-matched directed random graph,0.6525728697735683
